name,surname,forename,orcid,wikidata
"Dziudzia, Corinna",,,,
"Dziudzia, Corinna",,,,
"Ebel, Carla",,,,
"Ebert, Barbara",,,,
"Echelmeyer, Nora",,,,
"Echelmeyer, Nora",,,,
"Eckart, Thomas",,,,
"Eckenstaler, Sophie",,,0000-0001-8633-0120,
"Eckl, Markus",,,,
"Eder, Elisabeth",,,,
"Eder, Elisabeth",,,,
"Eduard, Frunzeanu",,,,
"Efer, Thomas",,,0000-0002-8376-3884,
"Efer, Thomas",,,,
"Efer, Thomas",,,,
"Effinger, Maria",,,,
"Effinger, Maria",,,,
"Egger, Nils",,,,
"Eggersglüß, Christoph",,,,
"Eggert, Lisa",,,0009-0004-3898-9923,
"Eggert, Lisa",,,,
"Ehlers, Lena",,,0000-0002-8860-3740,
"Ehrlicher, Hanno",,,,
"Ehrmann, Maud",,,,
"Ehrmanntraut, Anton",,,0000-0001-6677-586X,
"Eichenberger, Nicole",,,0000-0002-3941-9461,
"Eichfeldt, Nora",,,,
"Eichhorst, Dana",,,,
"Eickhoff, Dominic",,,0009-0008-6044-3862,
"Eide, Øyvind",,,,
"Eide, Øyvind",,,,
"Eide, Øyvind",,,,
"Eide, Øyvind",,,,
"Eigner, Johanna",,,0000-0002-1672-9555,
"Eiser, Isabel",,,0000-0003-0923-3735,
"Eiser, Isabel",,,0000-0003-0923-3735,
"Eisterhues, Marcel",,,,
"El Khatib, Randa",,,,
"El-Assady, Mennatallah",,,,
"Ellwardt, Andreas",,,,
"Elwert, Frederik",,,0000-0001-9149-9377,
"Elwert, Frederik",,,0000-0001-9149-9377,
"Elwert, Frederik",,,0000-0001-9149-9377,
"Elwert, Frederik",,,,
"Elwert, Frederik",,,,
"Elwert, Frederik",,,,
"Elwert, Frederik",,,,
"Elwert, Frederik",,,,
"Emanuel, Chagai",,,,
"Engel, Alexander",,,0000-0002-8592-3124,
"Engelberg, Stefan",,,,
"Engelberg, Stefan",,,,
"Engelhardt, Claudia",,,,
"Engelhardt, Claudia",,,,
"Engl, Elisabeth",,,,
"Engl, Elisabeth",,,,
"Enns, Sebastian",,,0009-0007-6336-8266,
"Entrup, Elias",,,0000-0002-7380-1189,
"Erler-Fridgen, Katharina",,,0000-0002-2061-2974,
"Ernst, Felix",,,0000-0002-2102-4170,
"Ernst, Thomas",,,,
"Ernst, Thomas",,,,
"Ertl, Thomas",,,,
"Ertl, Thomas",,,,
"Esch, Claudia",,,0000-0003-1996-0581,
"Eschweiler, Mark",,,,
"Essler, Holger",,,,
"Etimi, Valmir",,,,
"Evers, Anna-Maria",,,,
"Evert, Stefan",,,,
"Evert, Stefan",,,,
"Evert, Stefan",,,,
"Ewerth, Ralph",,,0000-0003-0918-6297,
"Ewerth, Ralph",,,0000-0003-0918-6297,
"Ewerth, Ralph",,,0000-0003-0918-6297,
"Ewerth, Ralph",,,,
"Ewerth, Ralph",,,,
"Eyeselein, Björn",,,,
"Fábregas Tejeda, Alejandro",,,,
"Fadeeva, Yuliya",,,0000-0002-3119-7892,
"Falkenthal, Michael",,,,
"Falkenthal, Michael",,,,
"Fallucchi, Francesca",,,,
"Fandrych, Christian",,,,
"Fangerau, Heiner",,,0000-0001-9065-3395,
"Fangerau, Heiner",,,,
"Fankhauser, Peter",,,,
"Fankhauser, Peter",,,,
"Fanta, Walter",,,,
"Faßhauer, Vera",,,,
"Faßhauer, Vera",,,,
"Fath, Laura",,,,
"Faust, Anna",,,0009-0006-5500-4860,
"Faynberg, Veronika",,,,
"Fechner, Martin",,,0000-0001-9233-0653,
"Fechner, Martin",,,,
"Fechner, Martin",,,,
"Federbusch, Maria",,,,
"Feichtinger, Moritz",,,0000-0003-1260-8884,
"Feidicker, Charlotte",,,,
"Feige, Tillmann",,,,
"Feldmann, Alina",,,,
"Feldmann, Felix",,,,
"Feldmüller, Tim",,,0000-0003-0350-3562,
"Ferger, Anne",,,,
"Fetz, Bernhard",,,0000-0003-0032-3435,
"Fichtl, Barbara",,,,
"Fichtl, Barbara",,,,
"Fichtner, Mark",,,,
"Fichtner, Mark",,,,
"Fichtner, Mark",,,,
"Fichtner, Mark",,,,
"Fickers, Andreas",,,,
"Fiechter, Benjamin",,,0000-0002-6478-5260,
"Fiedler, Maik",,,,
"Fiedler, Maik",,,,
"Fiel, Stefan",,,,
"Filipov, Velitchko",,,,
