speaker-name,number-of-lectures
'0000-0001-8274-780X',1
'0009-0005-2835-1894',1
'0000-0001-5771-3966',1
'0000-0001-5655-0130',1
'Q126594614',1
'Q126692078',1
'0000-0002-5209-9052',1
'0000-0002-7226-8204',1
'Q103352640',1
'0000-0001-9091-8410',1
'Q126692081',1
'Q126692083',1
'0000-0002-9944-4108',1
'0000-0002-7810-0453',1
'Q126692087',1
'Q126692089',1
'0000-0003-1887-5043',1
'0000-0003-1491-747X',1
'0000-0001-8060-5947',1
'0000-0003-1655-2910',1
'0000-0001-5363-5235',1
'Q126692096',1
'0000-0002-9270-2522',1
'0000-0003-2419-4252',1
'0000-0001-8225-7851',1
'0000-0002-8592-3124',1
'0009-0005-3161-0893',1
'0000-0002-2402-3173',1
'0000-0002-1443-8914',1
'0000-0003-1434-8908',1
'0009-0002-1976-4759',1
'0000-0002-5029-4110',1
'Q95340530',1
'0000-0003-3230-8993',1
'Q126598238',1
'0000-0002-9676-5969',1
'Q126596029',1
'0000-0003-1601-1348',1
'Q126692105',1
'Q112563934',1
'0000-0002-5350-067X',1
'0000-0001-5466-3262',1
'0000-0001-9236-2727',1
'0000-0002-8547-3143',1
'0000-0002-5978-9769',1
'0009-0003-5893-1932',1
'0000-0002-8657-6232',1
'0000-0002-4733-4070',1
'0000-0002-9011-8410',1
'0000-0002-8860-3740',1
'Q126692111',1
'0009-0000-7083-4949',1
'0009-0004-6555-9240',1
'0009-0006-3673-2184',1
'0000-0002-1726-3187',1
'0000-0002-1672-9555',1
'0000-0002-0355-2594',1
'0000-0001-7662-191X',1
'0000-0003-1260-8884',1
'0000-0003-0027-8320',1
'0000-0002-9596-3381',1
'0000-0002-0519-6087',1
'0000-0001-7796-2951',1
'0000-0003-1006-4596',1
'Q126692115',1
'0000-0001-9420-2233',1
'Q126692116',1
'Q126598243',1
'0000-0001-5203-0971',1
'0000-0002-7356-7492',1
'0000-0001-5508-7826',1
'0000-0003-3659-2055',1
'0000-0003-2258-6308',1
'Q126692124',1
'0009-0008-9536-7249',1
'0009-0006-8092-8395',1
'0000-0002-2301-6860',1
'0000-0002-6629-0042',1
'0000-0002-1791-0268',1
'0000-0003-4357-9078',1
'Q126692132',1
'0000-0002-4998-1757',1
